Algorithm,CoinName,FullName,FullyPremined,Id,ImageUrl,Name,PreMinedValue,ProofType,SortOrder,Sponsored,Symbol,TotalCoinSupply,TotalCoinsFreeFloat,Url
SHA256,Bitcoin,Bitcoin (BTC),0,1182,/media/19633/btc.png,BTC,N/A,PoW,1,False,BTC,21000000,N/A,/coins/btc/overview
Scrypt,Litecoin,Litecoin (LTC),0,3808,/media/19782/litecoin-logo.png,LTC,N/A,PoW,3,False,LTC,84000000,N/A,/coins/ltc/overview
X11,DigitalCash,DigitalCash (DASH),0,3807,/media/20626/imageedit_27_4355944719.png,DASH,N/A,PoW/PoS,4,False,DASH,22000000,N/A,/coins/dash/overview
CryptoNight,Monero,Monero (XMR),0,5038,/media/19969/xmr.png,XMR,N/A,PoW,5,False,XMR,0,N/A,/coins/xmr/overview
PoS,Nxt,Nxt (NXT),1,1183,/media/20627/nxt.png,NXT,N/A,PoS/LPoS,6,False,NXT,1000000000,N/A,/coins/nxt/overview
Ethash,Ethereum Classic,Ethereum Classic (ETC),0,5324,/media/20275/etc2.png,ETC,N/A,PoW,7,False,ETC,N/A,N/A,/coins/etc/overview
Scrypt,Dogecoin,Dogecoin (DOGE),0,4432,/media/19684/doge.png,DOGE,N/A,PoW,8,False,DOGE,N/A,N/A,/coins/doge/overview
Equihash,ZCash,ZCash (ZEC),0,24854,/media/351360/zec.png,ZEC,N/A,PoW,9,False,ZEC,21000000,N/A,/coins/zec/overview
SHA-512,Bitshares,Bitshares (BTS),1,5039,/media/20705/bts.png,BTS,N/A,PoS,10,False,BTS,2511953117,N/A,/coins/bts/overview
SHA256,BitcoinDark,BitcoinDark (BTCD),0,4400,/media/19630/btcd_1.png,BTCD,N/A,PoW/PoS,13,False,BTCD,22000000,N/A,/coins/btcd/overview
N/A,PeerCoin,PeerCoin (PPC),0,2349,/media/19864/peercoin-logo.png,PPC,N/A,N/A,14,False,PPC,N/A,N/A,/coins/ppc/overview
X11,CraigsCoin,CraigsCoin (CRAIG),0,4425,/media/20022/craig.png,CRAIG,N/A,PoS,15,False,CRAIG,30000000,N/A,/coins/craig/overview
X11,Bitstake,Bitstake (XBS),0,5023,/media/351060/xbs_1.png,XBS,N/A,PoW/PoS,16,False,XBS,1300000,N/A,/coins/xbs/overview
SHA256,PayCoin,PayCoin (XPY),0,5030,/media/20076/xpy_1.png,XPY,N/A,PoS,17,False,XPY,12500000,N/A,/coins/xpy/overview
Scrypt,ProsperCoin,ProsperCoin (PRC),0,3638,/media/20393/prc.png,PRC,N/A,PoW,18,False,PRC,21000000,N/A,/coins/prc/overview
Multiple,YbCoin,YbCoin (YBC),0,3639,/media/19975/ybc.png,YBC,N/A,N/A,19,False,YBC,200000000,N/A,/coins/ybc/overview
X13,DarkKush,DarkKush (DANK),0,3640,/media/20247/dank.png,DANK,N/A,PoW/PoS,20,False,DANK,3000000,N/A,/coins/dank/overview
X11,GiveCoin,GiveCoin (GIVE),0,3641,/media/20297/give.png,GIVE,N/A,PoW,21,False,GIVE,500000000,N/A,/coins/give/overview
X15,KoboCoin,KoboCoin (KOBO),0,3642,/media/20329/kobo.png,KOBO,N/A,PoW/PoS,22,False,KOBO,350000000,N/A,/coins/kobo/overview
NIST5,DarkToken,DarkToken (DT),0,3643,/media/20031/dt.png,DT,N/A,PoW/PoS,23,False,DT,0,N/A,/coins/dt/overview
Scrypt,CETUS Coin,CETUS Coin (CETI),0,3644,/media/20228/ceti.png,CETI,N/A,PoW/PoS,24,False,CETI,0,N/A,/coins/ceti/overview
N/A,Supcoin,Supcoin (SUP),0,3645,/media/20442/sup.png,SUP,N/A,PoW,25,False,SUP,0,N/A,/coins/sup/overview
